article,len,svc,bfm,bmw_prob,honda_prob,mercedes_prob,mitsubishi_prob,nissan_prob,toyota_prob,unknown_article_prob,vag_prob
171363000,9,nissan,bmw,0.9111405835543767,0.08753315649867374,0.0,0.0,0.001326259946949602,0.0,0.0,0.0
541007310,9,nissan,bmw,0.8969359331476323,0.10306406685236769,0.0,0.0,0.0,0.0,0.0,0.0
601427121,9,nissan,bmw,0.9638888888888889,0.03611111111111111,0.0,0.0,0.0,0.0,0.0,0.0
134106850,9,nissan,bmw,0.9205020920502092,0.0794979079497908,0.0,0.0,0.0,0.0,0.0,0.0
134113830,9,nissan,bmw,0.8789473684210526,0.12105263157894737,0.0,0.0,0.0,0.0,0.0,0.0
231117010,9,nissan,bmw,0.8571428571428571,0.13769363166953527,0.0,0.0,0.0034423407917383822,0.0,0.0,0.0017211703958691911
400361220,9,nissan,bmw,0.9355844155844156,0.06441558441558441,0.0,0.0,0.0,0.0,0.0,0.0
534013830,9,nissan,bmw,0.8789473684210526,0.12105263157894737,0.0,0.0,0.0,0.0,0.0,0.0
707152200,9,nissan,bmw,0.9936962750716333,0.006303724928366762,0.0,0.0,0.0,0.0,0.0,0.0
715220800,9,nissan,bmw,0.9837837837837838,0.014414414414414415,0.0,0.0,0.0,0.0,0.0,0.0018018018018018018
504277774,9,nissan,bmw,0.8845836768342952,0.1145919208573784,0.0,0.0,0.0008244023083264633,0.0,0.0,0.0
041007401,9,nissan,bmw,0.9816901408450704,0.015492957746478873,0.0,0.0,0.0014084507042253522,0.0,0.0,0.0014084507042253522
814029200,9,nissan,bmw,0.998085513720485,0.0012763241863433313,0.0,0.0,0.0,0.0,0.0006381620931716656,0.0
501117030,9,nissan,bmw,0.8571428571428571,0.13769363166953527,0.0,0.0,0.0034423407917383822,0.0,0.0,0.0017211703958691911
127102460,9,nissan,bmw,0.9771241830065359,0.02287581699346405,0.0,0.0,0.0,0.0,0.0,0.0
134101140,9,nissan,bmw,0.9205020920502092,0.0794979079497908,0.0,0.0,0.0,0.0,0.0,0.0
252109139,9,nissan,bmw,0.9953434225844005,0.004656577415599534,0.0,0.0,0.0,0.0,0.0,0.0
813514700,9,nissan,bmw,0.9684650455927052,0.031534954407294834,0.0,0.0,0.0,0.0,0.0,0.0
626303609,9,nissan,bmw,0.9111405835543767,0.08753315649867374,0.0,0.0,0.001326259946949602,0.0,0.0,0.0
500341178,9,nissan,bmw,0.9205020920502092,0.0794979079497908,0.0,0.0,0.0,0.0,0.0,0.0
613136500,9,nissan,bmw,0.8951515151515151,0.10484848484848484,0.0,0.0,0.0,0.0,0.0,0.0
127111920,9,nissan,bmw,0.9352589641434262,0.0647410358565737,0.0,0.0,0.0,0.0,0.0,0.0
429203650,9,nissan,bmw,0.8991825613079019,0.1008174386920981,0.0,0.0,0.0,0.0,0.0,0.0
713414800,9,nissan,bmw,0.9518518518518518,0.04814814814814815,0.0,0.0,0.0,0.0,0.0,0.0
416201160,9,nissan,bmw,0.8839336763865066,0.115494568324757,0.0,0.0,0.0005717552887364208,0.0,0.0,0.0
711192100,9,nissan,bmw,0.9352589641434262,0.0647410358565737,0.0,0.0,0.0,0.0,0.0,0.0
430201402,9,nissan,bmw,0.9967487227124942,0.002786809103576405,0.0,0.0,0.00046446818392940084,0.0,0.0,0.0
803484483,9,nissan,bmw,0.9518518518518518,0.04814814814814815,0.0,0.0,0.0,0.0,0.0,0.0
134115130,9,nissan,bmw,0.9205020920502092,0.0794979079497908,0.0,0.0,0.0,0.0,0.0,0.0
420220730,9,nissan,bmw,0.9963768115942029,0.0024154589371980675,0.0,0.0,0.0,0.0,0.0012077294685990338,0.0
713434100,9,nissan,bmw,0.9205020920502092,0.0794979079497908,0.0,0.0,0.0,0.0,0.0,0.0
134113020,9,nissan,bmw,0.9205020920502092,0.0794979079497908,0.0,0.0,0.0,0.0,0.0,0.0
416110341,9,nissan,bmw,0.9205020920502092,0.0794979079497908,0.0,0.0,0.0,0.0,0.0,0.0
713136800,9,nissan,bmw,0.8951515151515151,0.10484848484848484,0.0,0.0,0.0,0.0,0.0,0.0
613198020,9,nissan,bmw,0.9965156794425087,0.003484320557491289,0.0,0.0,0.0,0.0,0.0,0.0
701341030,9,nissan,bmw,0.9205020920502092,0.0794979079497908,0.0,0.0,0.0,0.0,0.0,0.0
062109293,9,nissan,bmw,0.983957219251337,0.014514896867838044,0.0,0.0,0.0,0.0,0.0,0.0015278838808250573
504147775,9,nissan,bmw,0.9890736342042755,0.010926365795724466,0.0,0.0,0.0,0.0,0.0,0.0
713136300,9,nissan,bmw,0.9111405835543767,0.08753315649867374,0.0,0.0,0.001326259946949602,0.0,0.0,0.0
134113800,9,nissan,bmw,0.9205020920502092,0.0794979079497908,0.0,0.0,0.0,0.0,0.0,0.0
55429JE20A,10,nissan,honda,0.007049345417925478,0.8227593152064451,0.0,0.0,0.1661631419939577,0.004028197381671702,0.0,0.0
14035WE000,10,nissan,honda,0.0,0.9071428571428571,0.0,0.0,0.08035714285714286,0.0125,0.0,0.0
25441M0000,10,nissan,honda,0.0,0.9468503937007874,0.0,0.0,0.014435695538057743,0.03871391076115486,0.0,0.0
54630F1DA0,10,nissan,honda,0.0,0.8017857142857143,0.0,0.0,0.18928571428571428,0.008928571428571428,0.0,0.0
218302E200,10,nissan,honda,0.004316546762589928,0.8676258992805755,0.0,0.0007194244604316547,0.12158273381294964,0.0057553956834532375,0.0,0.0
235102F100,10,nissan,honda,0.0,0.8082788671023965,0.0,0.0,0.06100217864923747,0.13071895424836602,0.0,0.0
31266GA020,10,nissan,honda,0.0,0.9354066985645934,0.0,0.0,0.0645933014354067,0.0,0.0,0.0
57254AA011,10,nissan,honda,0.005272407732864675,0.8804920913884007,0.0,0.0,0.1054481546572935,0.008787346221441126,0.0,0.0
3340064G00,10,nissan,honda,0.0,0.8547794117647058,0.0,0.0,0.13419117647058823,0.011029411764705883,0.0,0.0
60072RSRC3,10,nissan,honda,0.0008992805755395684,0.8246402877697842,0.0,0.0,0.17266187050359713,0.0017985611510791368,0.0,0.0
218301W200,10,nissan,honda,0.004316546762589928,0.8676258992805755,0.0,0.0007194244604316547,0.12158273381294964,0.0057553956834532375,0.0,0.0
120335CA0A,10,nissan,honda,0.0,0.9127589967284624,0.0,0.0,0.0806979280261723,0.006543075245365322,0.0,0.0
34430SA000,10,nissan,honda,0.0,0.8020989505247377,0.0,0.0014992503748125937,0.1184407796101949,0.07796101949025487,0.0,0.0
11815AB560,10,nissan,honda,0.0,0.8120567375886525,0.0,0.0,0.17907801418439717,0.008865248226950355,0.0,0.0
209102BJ01,10,nissan,honda,0.0007457121551081282,0.8351976137211037,0.0,0.00820283370618941,0.15137956748695003,0.0044742729306487695,0.0,0.0
25443H8000,10,nissan,honda,0.0,0.8020989505247377,0.0,0.0014992503748125937,0.1184407796101949,0.07796101949025487,0.0,0.0
123037S000,10,nissan,honda,0.0,0.9121338912133892,0.0,0.0,0.08786610878661087,0.0,0.0,0.0
546181CA5A,10,nissan,honda,0.0,0.8120567375886525,0.0,0.0,0.17907801418439717,0.008865248226950355,0.0,0.0
42181KK010,10,nissan,honda,0.0,0.8120567375886525,0.0,0.0,0.17907801418439717,0.008865248226950355,0.0,0.0
311172D000,10,nissan,honda,0.0,0.8245283018867925,0.0,0.0018867924528301887,0.17358490566037735,0.0,0.0,0.0
90810JU00D,10,nissan,honda,0.0,0.8673913043478261,0.0,0.002173913043478261,0.11304347826086956,0.017391304347826087,0.0,0.0
768535AA0A,10,nissan,honda,0.0,0.9462962962962963,0.0,0.0,0.05,0.003703703703703704,0.0,0.0
267172F000,10,nissan,honda,0.0,0.8245283018867925,0.0,0.0018867924528301887,0.17358490566037735,0.0,0.0,0.0
209102EA00,10,nissan,honda,0.0007457121551081282,0.8351976137211037,0.0,0.00820283370618941,0.15137956748695003,0.0044742729306487695,0.0,0.0
01109KUN26,10,nissan,honda,0.0017543859649122807,0.9614035087719298,0.0,0.0,0.03684210526315789,0.0,0.0,0.0
39100JG74A,10,nissan,honda,0.0007457121551081282,0.8351976137211037,0.0,0.00820283370618941,0.15137956748695003,0.0044742729306487695,0.0,0.0
214432U000,10,nissan,honda,0.0,0.8020989505247377,0.0,0.0014992503748125937,0.1184407796101949,0.07796101949025487,0.0,0.0
34439AE020,10,nissan,honda,0.0,0.8020989505247377,0.0,0.0014992503748125937,0.1184407796101949,0.07796101949025487,0.0,0.0
33111JD60A,10,nissan,honda,0.018281535648994516,0.9177330895795247,0.0,0.0,0.05301645338208409,0.010968921389396709,0.0,0.0
351002B180,10,nissan,honda,0.0,0.8082788671023965,0.0,0.0,0.06100217864923747,0.13071895424836602,0.0,0.0
546133TT0A,10,nissan,honda,0.017716535433070866,0.8188976377952756,0.0,0.0,0.1594488188976378,0.003937007874015748,0.0,0.0
546302S05A,10,nissan,honda,0.0,0.8017857142857143,0.0,0.0,0.18928571428571428,0.008928571428571428,0.0,0.0
905024EA1B,10,nissan,honda,0.0,0.8629856850715747,0.0,0.0,0.130879345603272,0.006134969325153374,0.0,0.0
331423KA0A,10,nissan,honda,0.0023014959723820483,0.8262370540851554,0.0,0.0,0.16915995397008055,0.0023014959723820483,0.0,0.0
76749BM90A,10,nissan,honda,0.0013003901170351106,0.8283485045513654,0.0,0.0,0.15344603381014305,0.016905071521456438,0.0,0.0
29110C1000,10,nissan,honda,0.013250883392226149,0.8277385159010601,0.0,0.00530035335689046,0.1501766784452297,0.0035335689045936395,0.0,0.0
49181AA000,10,nissan,honda,0.0,0.8120567375886525,0.0,0.0,0.17907801418439717,0.008865248226950355,0.0,0.0
218302T350,10,nissan,honda,0.004316546762589928,0.8676258992805755,0.0,0.0007194244604316547,0.12158273381294964,0.0057553956834532375,0.0,0.0
883502JPA0,10,nissan,honda,0.0,0.9127589967284624,0.0,0.0,0.0806979280261723,0.006543075245365322,0.0,0.0
654701AA0A,10,nissan,honda,0.016488046166529265,0.8680956306677658,0.0,0.0,0.09975267930750206,0.015663643858202802,0.0,0.0
284172F000,10,nissan,manual_check,0.043795620437956206,0.20681265206812652,0.0,0.004866180048661801,0.610705596107056,0.13381995133819952,0.0,0.0
3172804X0C,10,nissan,manual_check,0.014686248331108143,0.14285714285714285,0.0,0.0,0.6769025367156208,0.16555407209612816,0.0,0.0
140533JA0B,10,nissan,manual_check,0.0,0.4755178907721281,0.0,0.0009416195856873823,0.4218455743879473,0.1016949152542373,0.0,0.0
410000070,9,nissan,manual_check,0.05952380952380952,0.2996031746031746,0.013888888888888888,0.0,0.6170634920634921,0.003968253968253968,0.0,0.005952380952380952
0FE3N12124,10,nissan,manual_check,0.0,0.1940685286495825,0.0,0.1479988482579902,0.49208177368269507,0.16527497840483732,0.0,0.0005758710048949035
135206930,9,nissan,manual_check,0.0,0.018581081081081082,0.0016891891891891893,0.05067567567567568,0.14695945945945946,0.06418918918918919,0.0,0.7179054054054054
089136065A,10,nissan,manual_check,0.0,0.0,0.0,0.0,0.5273224043715847,0.0,0.0,0.4726775956284153
5401188ASX,10,nissan,manual_check,0.0,0.17862595419847327,0.0,0.03206106870229008,0.49770992366412214,0.2916030534351145,0.0,0.0
815327400,9,nissan,manual_check,0.0,0.007692307692307693,0.0,0.03076923076923077,0.1673076923076923,0.015384615384615385,0.0,0.7788461538461539
4422011RUE,10,nissan,manual_check,0.0,0.17862595419847327,0.0,0.03206106870229008,0.49770992366412214,0.2916030534351145,0.0,0.0
256112R000,10,nissan,manual_check,0.0033003300330033004,0.1443894389438944,0.0,0.0008250825082508251,0.27970297029702973,0.5701320132013201,0.0,0.0016501650165016502
5200341ASX,10,nissan,manual_check,0.0,0.17862595419847327,0.0,0.03206106870229008,0.49770992366412214,0.2916030534351145,0.0,0.0
144115M300,10,nissan,manual_check,0.0,0.4940652818991098,0.0,0.002967359050445104,0.4599406528189911,0.04302670623145401,0.0,0.0
AKS0007MOF,10,nissan,manual_check,0.0,0.2656,0.0,0.024,0.7024,0.008,0.0,0.0
078109149,9,nissan,manual_check,0.0,0.03278688524590164,0.0,0.019672131147540985,0.3475409836065574,0.011475409836065573,0.0,0.5885245901639344
26300AN00A,10,nissan,manual_check,0.002631578947368421,0.31973684210526315,0.0,0.002631578947368421,0.5815789473684211,0.09342105263157895,0.0,0.0
20365AL020,10,nissan,manual_check,0.00523168908819133,0.7257100149476831,0.0,0.0,0.26756352765321373,0.0014947683109118087,0.0,0.0
28113G6000,10,nissan,manual_check,0.0025477707006369425,0.4191082802547771,0.0,0.0,0.5006369426751592,0.07770700636942675,0.0,0.0
230402S000,10,nissan,manual_check,0.004201680672268907,0.11764705882352941,0.0,0.0,0.6638655462184874,0.21428571428571427,0.0,0.0
600035500,9,nissan,manual_check,0.0,0.022222222222222223,0.0010582010582010583,0.012698412698412698,0.21798941798941798,0.005291005291005291,0.0,0.7407407407407407
581013KA61,10,nissan,manual_check,0.015544041450777202,0.37823834196891193,0.0,0.0051813471502590676,0.37305699481865284,0.22797927461139897,0.0,0.0
2211934LUE,10,nissan,manual_check,0.0,0.17862595419847327,0.0,0.03206106870229008,0.49770992366412214,0.2916030534351145,0.0,0.0
63810JD000,10,nissan,manual_check,0.0013351134846461949,0.2857142857142857,0.0,0.0013351134846461949,0.5287049399198932,0.1829105473965287,0.0,0.0
155212045,9,nissan,manual_check,0.1580135440180587,0.05869074492099323,0.0,0.009029345372460496,0.39954853273137697,0.013544018058690745,0.0,0.3611738148984199
26060JD91A,10,nissan,manual_check,0.0,0.15192135835567472,0.0,0.0035746201966041107,0.7765862377122431,0.0679177837354781,0.0,0.0
501261873,9,nissan,manual_check,0.0,0.009411764705882352,0.0,0.042352941176470586,0.2917647058823529,0.04941176470588235,0.0,0.6070588235294118
015313501,9,nissan,manual_check,0.0,0.00539568345323741,0.0017985611510791368,0.02158273381294964,0.2517985611510791,0.01618705035971223,0.0,0.7032374100719424
253141978,9,nissan,manual_check,0.0,0.00539568345323741,0.0017985611510791368,0.02158273381294964,0.2517985611510791,0.01618705035971223,0.0,0.7032374100719424
143221401,9,nissan,manual_check,0.0,0.017408123791102514,0.0,0.047388781431334626,0.6518375241779497,0.012572533849129593,0.0,0.27079303675048355
291302S000,10,nissan,manual_check,0.0020060180541624875,0.26078234704112335,0.0,0.0010030090270812437,0.4002006018054162,0.33600802407221664,0.0,0.0
AKS0005HOM,10,nissan,manual_check,0.0,0.2656,0.0,0.024,0.7024,0.008,0.0,0.0
2803100K00,10,nissan,manual_check,0.014686248331108143,0.14285714285714285,0.0,0.0,0.6769025367156208,0.16555407209612816,0.0,0.0
057145117,9,nissan,manual_check,0.0,0.017408123791102514,0.0,0.047388781431334626,0.6518375241779497,0.012572533849129593,0.0,0.27079303675048355
250138820,9,nissan,manual_check,0.0,0.013440860215053764,0.0,0.024193548387096774,0.5833333333333334,0.010752688172043012,0.0,0.3682795698924731
254312L000,10,nissan,manual_check,0.011152416356877323,0.34572490706319703,0.0,0.009913258983890954,0.48946716232961585,0.14374225526641884,0.0,0.0
504164177,9,nissan,manual_check,0.0,0.03313253012048193,0.0,0.018072289156626505,0.7228915662650602,0.05421686746987952,0.0,0.1716867469879518
11210JN30A,10,nissan,manual_check,0.0,0.398884239888424,0.0,0.0,0.497907949790795,0.10320781032078104,0.0,0.0
551026710,9,nissan,manual_check,0.1580135440180587,0.05869074492099323,0.0,0.009029345372460496,0.39954853273137697,0.013544018058690745,0.0,0.3611738148984199
5200848ASX,10,nissan,manual_check,0.0,0.17862595419847327,0.0,0.03206106870229008,0.49770992366412214,0.2916030534351145,0.0,0.0
49790JN00B,10,nissan,manual_check,0.0,0.23128342245989306,0.0,0.00267379679144385,0.5882352941176471,0.17780748663101603,0.0,0.0
NSP048934148010C2,17,nissan,mercedes,0.0,0.0,0.9734265734265735,0.0,0.005594405594405594,0.0,0.0,0.02097902097902098
430140009,9,nissan,mitsubishi,0.0,0.0,0.0,0.9971724787935909,0.002827521206409048,0.0,0.0,0.0
600014000,9,nissan,mitsubishi,0.0,0.0,0.0,0.9971724787935909,0.002827521206409048,0.0,0.0,0.0
480140010,9,nissan,mitsubishi,0.0,0.0,0.0,0.9971724787935909,0.002827521206409048,0.0,0.0,0.0
430140002,9,nissan,mitsubishi,0.0008680555555555555,0.0,0.0,0.9991319444444444,0.0,0.0,0.0,0.0
414000222,9,nissan,mitsubishi,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
9PK1360AHD,10,nissan,mitsubishi,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6418DWP1BL,10,nissan,mitsubishi,0.0,0.0008090614886731392,0.0,0.9967637540453075,0.0024271844660194173,0.0,0.0,0.0
814000110,9,nissan,mitsubishi,0.0,0.0,0.0,0.9971724787935909,0.002827521206409048,0.0,0.0,0.0
430140010,9,nissan,mitsubishi,0.0,0.0,0.0,0.9971724787935909,0.002827521206409048,0.0,0.0,0.0
430140001,9,nissan,mitsubishi,0.0,0.0,0.0,0.9971724787935909,0.002827521206409048,0.0,0.0,0.0
5464BA1BRV,10,nissan,mitsubishi,0.0,0.0008090614886731392,0.0,0.9967637540453075,0.0024271844660194173,0.0,0.0,0.0
713001400,9,nissan,mitsubishi,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
450000140,9,nissan,mitsubishi,0.0,0.0,0.0,0.9971724787935909,0.002827521206409048,0.0,0.0,0.0
20A365A52B,10,nissan,mitsubishi,0.0,0.04060913705583756,0.0,0.8477157360406091,0.1065989847715736,0.005076142131979695,0.0,0.0
430140008,9,nissan,mitsubishi,0.0,0.0,0.0,0.9971724787935909,0.002827521206409048,0.0,0.0,0.0
0411NA8WRH,10,nissan,mitsubishi,0.0,0.0008090614886731392,0.0,0.9967637540453075,0.0024271844660194173,0.0,0.0,0.0
6904LLU2AS,10,nissan,mitsubishi,0.0,0.0008090614886731392,0.0,0.9967637540453075,0.0024271844660194173,0.0,0.0,0.0
200014000,9,nissan,mitsubishi,0.0,0.0,0.0,0.9971724787935909,0.002827521206409048,0.0,0.0,0.0
